"id","duration","selected","order","prolificId","studyId","sessionId"
"66","19787","dogD.jpg","{""dogA.jpg"",""dogB.jpg"",""dogD.jpg"",""dogC.jpg""}","6643a8837540ee80f2d5be45","699dbe8a0fcd929abffcc240","699dc0dc22a456aaa9c40623"
"67","6427","dogD.jpg","{""dogA.jpg"",""dogD.jpg"",""dogB.jpg"",""dogC.jpg""}","5b8e9747a862a6000120a050","699dbe8a0fcd929abffcc240","699dc102fba1881b1f13ecb7"
"68","8928","dogD.jpg","{""dogC.jpg"",""dogD.jpg"",""dogA.jpg"",""dogB.jpg""}","6405feae7d6321bfaaf793e8","699dbe8a0fcd929abffcc240","699dc146af230061c59621f0"
"69","13571","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogD.jpg"",""dogB.jpg""}","661c192305de463b9f025ed0","699dbe8a0fcd929abffcc240","699dc1377a8a782a59c8120f"
"70","31416","dogD.jpg","{""dogD.jpg"",""dogB.jpg"",""dogC.jpg"",""dogA.jpg""}","6636330bdf8206ac3b939cff","699dbe8a0fcd929abffcc240","699dc0ef8615c5a9e0f7cfda"
"71","10758","dogD.jpg","{""dogB.jpg"",""dogC.jpg"",""dogA.jpg"",""dogD.jpg""}","6720c26f12695d0297414d2d","699dbe8a0fcd929abffcc240","699dbfdbeaf996054c2face1"
"72","18741","dogC.jpg","{""dogC.jpg"",""dogA.jpg"",""dogD.jpg"",""dogB.jpg""}","67676c64636d1669c5790324","699dbe8a0fcd929abffcc240","699dc1ba3d6201ed145f08c1"
"73","10577","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogD.jpg"",""dogB.jpg""}","698131d58ccd103588cb5ca6","699dbe8a0fcd929abffcc240","699dc1c9d4d3b6c954a33bd2"
"74","10036","dogD.jpg","{""dogD.jpg"",""dogC.jpg"",""dogB.jpg"",""dogA.jpg""}","5d88f2c014ae0000010d92a7","699dbe8a0fcd929abffcc240","699dc1dc34b74e182c9b0e77"
"75","20790","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogD.jpg"",""dogB.jpg""}","698eec916caee248b2b996e5","699dbe8a0fcd929abffcc240","699dc06025c2357b1367d14b"
"76","14705","dogD.jpg","{""dogC.jpg"",""dogD.jpg"",""dogB.jpg"",""dogA.jpg""}","695fb517e502a74c91806e72","699dbe8a0fcd929abffcc240","699dc221b19d5d5464000889"
"77","6642","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogD.jpg"",""dogB.jpg""}","5a782866eea3d300016de9ef","699dbe8a0fcd929abffcc240","699dc23c07f19d0077df5f55"
"78","9458","dogD.jpg","{""dogA.jpg"",""dogC.jpg"",""dogB.jpg"",""dogD.jpg""}","5e0696dea7fba607951ae479","699dbe8a0fcd929abffcc240","699dc247128724ccddbcbd7f"
"79","251340","dogD.jpg","{""dogB.jpg"",""dogD.jpg"",""dogA.jpg"",""dogC.jpg""}","5c7075f618126000010d4c97","699dbe8a0fcd929abffcc240","699dc13c460b221d30c55c18"
"80","15669","dogD.jpg","{""dogC.jpg"",""dogB.jpg"",""dogD.jpg"",""dogA.jpg""}","628690801339eca9c44143cd","699dbe8a0fcd929abffcc240","699dc25e7330f1019cce81f9"
"81","18674","dogB.jpg","{""dogA.jpg"",""dogB.jpg"",""dogC.jpg"",""dogD.jpg""}","698367545f81174a62e1c4de","699dbe8a0fcd929abffcc240","699dc29f87c4c74acb450b7b"
